Player,League,Squad,Country,Position,Annualized Salary
D. Asaba,A,Swift Musketeers,Greri Landmoslands,DF,26000000
L. Chiu,A,Swift Musketeers,Lylimi,DF,9230000
W. Twinamatsiko,A,Swift Musketeers,Mico,DF,10980000
D. Shahar,A,Swift Musketeers,Nkasland Cronestan,DF,11380000
F. Fujihara,A,Swift Musketeers,People's Land of Maneau,DF,19690000
J. Ssempijja,A,Swift Musketeers,People's Land of Maneau,DF,14420000
P. Byamukama,A,Swift Musketeers,People's Land of Maneau,DF,17080000
Q. Tiko,A,Swift Musketeers,People's Land of Maneau,DF,11580000
D. Obeng,A,Swift Musketeers,Ngoque Blicri,FW,26240000
D. Tukamuhebwa,A,Swift Musketeers,People's Land of Maneau,FW,22310000
T. Acom,A,Swift Musketeers,People's Land of Maneau,FW,33190000
F. Siddiqui,A,Swift Musketeers,Southslands,FW,24410000
S. Sarpong,A,Swift Musketeers,Southslands,FW,25340000
A. Mlenga,A,Swift Musketeers,People's Land of Maneau,GK,11480000
F. Ribeiro,A,Swift Musketeers,People's Land of Maneau,GK,24760000
A. Kiss,A,Swift Musketeers,Mico,MF,21490000
V. Nakayima,A,Swift Musketeers,Nganion,MF,15890000
A. Lombardi,A,Swift Musketeers,Ngoque Blicri,MF,35630000
N. Nyesiga,A,Swift Musketeers,Southslands,MF,12480000
A. Avako,A,Swift Musketeers,People's Land of Maneau,MFDF,29710000
G. Abbas,A,Swift Musketeers,Reugha,MFDF,33900000
X. Nabaggala,A,Swift Musketeers,Biarizea,MFFW,27750000
R. Jacobs,A,Swift Musketeers,People's Land of Maneau,MFFW,23470000
A. Andama,B,Flawless Cows,Byasier Pujan,DF,16370000
Y. Nassuuna,B,Flawless Cows,Coastpa Barleslands,DF,18350000
J. Kyarisiima,B,Flawless Cows,Dosqaly,DF,13920000
M. Baláž,B,Flawless Cows,Dosqaly,DF,20870000
Q. Coppola,B,Flawless Cows,Dosqaly,DF,22580000
V. Mhlanga,B,Flawless Cows,Dosqaly,DF,20830000
J. Kawano,B,Flawless Cows,Esia,DF,16570000
O. Khainza,B,Flawless Cows,Lefghau,DF,20030000
J. Kondowe,B,Flawless Cows,Southern Ristan,DF,15970000
G. Tamm,B,Flawless Cows,Dosqaly,DFMF,13210000
D. Mabhena,B,Flawless Cows,Nganion,DFMF,20970000
H. Robert,B,Flawless Cows,Dosqaly,FW,33220000
B. Zheng,B,Flawless Cows,Imaar Vircoand,FW,37130000
I. Abeja,B,Flawless Cows,Janmico,FW,29370000
Y. Mutema,B,Flawless Cows,Nganion,FW,1150000
I. bin Yusof,B,Flawless Cows,Central Namemo Laand,FWMF,29810000
B. Obonyo,B,Flawless Cows,Imaar Vircoand,FWMF,32120000
R. Ssembatya,B,Flawless Cows,Nganion,FWMF,23070000
N. Kyohirwe,B,Flawless Cows,Dosqaly,GK,1680000
Y. Kyosiimire,B,Flawless Cows,Nganion,GK,13760000
X. Driscoll,B,Flawless Cows,Nkasland Cronestan,GK,20720000
P. Addae,B,Flawless Cows,South Sati Fatina,GK,12390000
D. Muhammad,B,Flawless Cows,Coastpa Barleslands,MF,33430000
H. Chirwa,B,Flawless Cows,Dosqaly,MF,7040000
P. Xu,B,Flawless Cows,Dosqaly,MF,13970000
K. Opio,B,Flawless Cows,Esia,MF,28520000
E. Sommer,B,Flawless Cows,Imaar Vircoand,MF,15690000
I. Marie,B,Flawless Cows,Sobianitedrucy,MF,22750000
O. Musonza,B,Flawless Cows,Nganion,MFDF,12470000
F. Yunusa,B,Flawless Cows,Rarita,MFDF,17280000
Z. Ahmetovi?,B,Flawless Cows,Lefghau,MFFW,30980000
O. Kuloba,B,Glistening Paladins,Central Namemo Laand,DF,20890000
A. Nabuuma,B,Glistening Paladins,Dosqaly,DF,23240000
L. Mulyani,B,Glistening Paladins,Dosqaly,DF,15960000
O. Wagner,B,Glistening Paladins,Dosqaly,DF,7190000
P. Amaniyo,B,Glistening Paladins,Dosqaly,DF,13330000
Q. Muduwa,B,Glistening Paladins,Dosqaly,DF,20930000
S. Bukirwa,B,Glistening Paladins,Dosqaly,DF,15750000
A. Palmieri,B,Glistening Paladins,Landsfupua,DF,31140000
A. Samanya,B,Glistening Paladins,Czechnor,FWMF,14060000
F. Lakot,B,Glistening Paladins,Dosqaly,FWMF,21280000
G. Lombardo,B,Glistening Paladins,Dosqaly,FWMF,28610000
G. Munsaka,B,Glistening Paladins,Dosqaly,FWMF,35010000
K. Adong,B,Glistening Paladins,Dosqaly,FWMF,25460000
Y. Low,B,Glistening Paladins,Dosqaly,FWMF,29400000
E. Ciobanu,B,Glistening Paladins,Tercapetralgrorus,FWMF,27200000
F. Kimera,B,Glistening Paladins,Dosqaly,GK,19470000
H. Jew,B,Glistening Paladins,Landsfupua,GK,18560000
F. Kabanda,B,Glistening Paladins,Dosqaly,MF,18290000
H. Lwanga,B,Glistening Paladins,Dosqaly,MF,14050000
J. Takali,B,Glistening Paladins,Dosqaly,MF,34800000
Z. Mlilo,B,Glistening Paladins,Pierrema,MF,23010000
M. Hassan,B,Glistening Paladins,Sobianitedrucy,MF,31420000
F. Aziz,B,Glistening Paladins,Dosqaly,MFFW,20650000
S. Vidal,B,Glistening Paladins,Dosqaly,MFFW,21650000
W. Santoro,B,Golden Rustlers,Coastpa Barleslands,DF,12200000
E. Gamal,B,Golden Rustlers,Dosqaly,DF,10680000
I. Chandra,B,Golden Rustlers,Dosqaly,DF,15020000
P. Igwe,B,Golden Rustlers,Dosqaly,DF,17600000
J. Mushabe,B,Golden Rustlers,Lefghau,DF,18240000
K. Abou,B,Golden Rustlers,Lefghau,DF,19210000
K. Oloya,B,Golden Rustlers,Quewenia,DF,27650000
B. Lai,B,Golden Rustlers,Rarita,DF,14760000
L. Okoye,B,Golden Rustlers,Rosvi,DF,22040000
F. Ahebwa,B,Golden Rustlers,Sobianitedrucy,DF,17370000
K. Mpirirwe,B,Golden Rustlers,Iverde,DFMF,28870000
A. Musonza,B,Golden Rustlers,Dosqaly,FW,27460000
E. Cortez,B,Golden Rustlers,Dosqaly,FW,29680000
U. Atugonza,B,Golden Rustlers,Republic of Denand Landsa,FW,30760000
F. Salonen,B,Golden Rustlers,Republic of Denand Landsa,FWDF,33130000
B. Ndlovu,B,Golden Rustlers,Dosqaly,FWMF,33800000
Y. Horváth,B,Golden Rustlers,Landli Blicporlip,FWMF,21330000
V. Bwambale,B,Golden Rustlers,Dosqaly,GK,17350000
U. Hansen,B,Golden Rustlers,Biarizea,MF,13830000
C. Langa,B,Golden Rustlers,Dosqaly,MF,20420000
L. Kond?,B,Golden Rustlers,Dosqaly,MF,10700000
W. Noguchi,B,Golden Rustlers,Lefghau,MF,25300000
M. Muwanga,B,Golden Rustlers,Manlisgamncent,MF,35020000
M. Anderson,B,Golden Rustlers,Nganion,MF,13270000
C. Shaheen,B,Golden Rustlers,Dosqaly,MFFW,27490000
T. Karmakar,B,Golden Rustlers,Dosqaly,MFFW,30590000
S. Namanya,B,Grotesque Rocks,Central Diasongo,DF,8100000
J. Suissa,B,Grotesque Rocks,Coastpa Barleslands,DF,11880000
E. Fujii,B,Grotesque Rocks,Dosqaly,DF,17380000
G. Namanya,B,Grotesque Rocks,Dosqaly,DF,18030000
H. Kaweesi,B,Grotesque Rocks,Dosqaly,DF,23190000
U. Müller,B,Grotesque Rocks,Dosqaly,DF,24140000
X. binti Awang,B,Grotesque Rocks,Rosvi,DF,15860000
O. Tshuma,B,Grotesque Rocks,Rarita,DFMF,26960000
A. Jensen,B,Grotesque Rocks,Buhegeor,FW,35080000
Q. Ssemwogerere,B,Grotesque Rocks,Dosqaly,FW,12710000
C. Kwakye,B,Grotesque Rocks,Nancipenuaroe,FW,35180000
B. Ghorbani,B,Grotesque Rocks,Ngogalar,FW,31450000
H. binti Yusof,B,Grotesque Rocks,New Somoe,FWMF,28550000
U. Dewi,B,Grotesque Rocks,Reugha,FWMF,29870000
T. Bukar,B,Grotesque Rocks,Southern Ristan,GK,11020000
B. Nalwanga,B,Grotesque Rocks,Dosqaly,MF,28900000
C. Chiwaya,B,Grotesque Rocks,Dosqaly,MF,21600000
F. Perrin,B,Grotesque Rocks,Dosqaly,MF,26580000
K. Kaudha,B,Grotesque Rocks,Dosqaly,MF,21160000
M. Jha,B,Grotesque Rocks,Dosqaly,MF,36200000
O. Soleimani,B,Grotesque Rocks,Dosqaly,MF,32000000
T. Orishaba,B,Grotesque Rocks,Dosqaly,MF,30850000
N. Ajidiru,B,Grotesque Rocks,Tabhu Striary,MF,23030000
C. Sari,B,Grotesque Rocks,Dosqaly,MFFW,11640000
X. Odongo,B,Grotesque Rocks,Unicorporated Tiagascar,MFFW,9950000
C. Namagembe,B,Hideous Pioneers,Dosqaly,DF,12830000
C. Nassiri,B,Hideous Pioneers,Dosqaly,DF,26370000
M. Wójcik,B,Hideous Pioneers,Dosqaly,DF,7820000
O. Monday,B,Hideous Pioneers,Dosqaly,DF,12980000
T. Mande,B,Hideous Pioneers,Dosqaly,DF,16360000
T. Nansubuga,B,Hideous Pioneers,Dosqaly,DF,21370000
X. Oláh,B,Hideous Pioneers,Dosqaly,DF,16810000
H. Pärn,B,Hideous Pioneers,Iverde,DF,19150000
B. Demir,B,Hideous Pioneers,Janmico,DF,19020000
E. binti Abdullah,B,Hideous Pioneers,Lylimi,DF,6610000
A. Zimmermann,B,Hideous Pioneers,Redohrainbri,DF,28250000
O. Dumitru,B,Hideous Pioneers,Dosqaly,FW,31230000
R. Nanono,B,Hideous Pioneers,Ingre,FW,25640000
U. Musekiwa,B,Hideous Pioneers,Southern Ristan,FW,25310000
G. Razak,B,Hideous Pioneers,Dosqaly,GK,16420000
T. Kibuuka,B,Hideous Pioneers,Janmico,GK,11370000
E. Loh,B,Hideous Pioneers,Manlisgamncent,GK,18230000
C. Kimura,B,Hideous Pioneers,Central Diasongo,MF,19040000
F. De León,B,Hideous Pioneers,Dosqaly,MF,14770000
G. Okeny,B,Hideous Pioneers,Dosqaly,MF,24080000
M. Onyango,B,Hideous Pioneers,Dosqaly,MF,30410000
N. Makombe,B,Hideous Pioneers,Dosqaly,MF,17740000
S. Ssenyonga,B,Hideous Pioneers,Dosqaly,MF,18590000
C. Ochen,B,Hideous Pioneers,Central Diasongo,MFFW,31420000
M. Chari,B,Hideous Pioneers,Dosqaly,MFFW,2050000
N. Obua,B,Hideous Pioneers,Dosqaly,MFFW,10590000
O. Tusabe,B,Hideous Pioneers,Dosqaly,MFFW,24060000
X. Chevalier,B,Hideous Pioneers,Dosqaly,MFFW,14150000
Y. Kabiru,B,Hideous Pioneers,Dosqaly,MFFW,20140000
I. Harawa,B,Hideous Pioneers,Southern Viout Aman,MFFW,22420000
O. Barone,B,Jumping Beans,Biarizea,DF,21230000
G. Sande,B,Jumping Beans,Central Diasongo,DF,15020000
M. Kamya,B,Jumping Beans,Dosqaly,DF,13460000
O. Kembabazi,B,Jumping Beans,Giumle Lizeibon,DF,1640000
L. Wenene,B,Jumping Beans,Southern Ristan,DF,16030000
N. Nakacwa,B,Jumping Beans,Central Diasongo,DFFW,27660000
Q. Mutabazi,B,Jumping Beans,Byasier Pujan,FW,10070000
O. Ghanbari,B,Jumping Beans,Coastpa Barleslands,FW,21060000
Q. Nampijja,B,Jumping Beans,Reugha,FW,19770000
C. Nafuna,B,Jumping Beans,Dosqaly,FWMF,24970000
E. Cortez,B,Jumping Beans,Dosqaly,FWMF,28320000
H. Simanjuntak,B,Jumping Beans,Dosqaly,FWMF,20030000
T. Peng,B,Jumping Beans,Dosqaly,FWMF,15540000
N. Grgi?,B,Jumping Beans,Ingre,FWMF,23100000
N. Lee,B,Jumping Beans,Landli Blicporlip,FWMF,32310000
V. Nabbosa,B,Jumping Beans,Quewenia,FWMF,10460000
E. Muwanguzi,B,Jumping Beans,Reugha,FWMF,27500000
J. Matambo,B,Jumping Beans,Dosqaly,GK,3260000
K. Adero,B,Jumping Beans,Rosvi,GK,11660000
T. Makaza,B,Jumping Beans,Central Namemo Laand,MF,20050000
K. Akullu,B,Jumping Beans,Dosqaly,MF,23560000
H. Rees,B,Jumping Beans,Eastern Covaki,MF,20960000
E. Ayerango,B,Jumping Beans,Loco Phirema,MF,6350000
Q. Pettersson,B,Jumping Beans,Southern Viout Aman,MF,28950000
R. Rusere,B,Jumping Beans,Tercapetralgrorus,MF,23890000
X. Opira,B,Jumping Beans,Dosqaly,MFFW,10600000
N. Kayemba,B,Lady Ocelots,Central Namemo Laand,DF,15420000
J. Arach,B,Lady Ocelots,Dosqaly,DF,16900000
Q. Basemera,B,Lady Ocelots,Dosqaly,DF,11780000
T. Gayakwad,B,Lady Ocelots,Dosqaly,DF,6660000
K. Nambi,B,Lady Ocelots,Nancipenuaroe,DF,12240000
M. Namale,B,Lady Ocelots,Redohrainbri,DF,18350000
B. Kaweesa,B,Lady Ocelots,Reugha,DF,12490000
R. Arineitwe,B,Lady Ocelots,Sobianitedrucy,DF,15570000
D. Ochan,B,Lady Ocelots,Coastpa Barleslands,FW,23590000
F. Chiumia,B,Lady Ocelots,Dosqaly,FW,26610000
R. Ibrahimovi?,B,Lady Ocelots,Dosqaly,FW,11450000
B. Moss,B,Lady Ocelots,Lonnia Haba,FW,36310000
I. Yoshida,B,Lady Ocelots,Southern Ristan,FW,27520000
P. Martin,B,Lady Ocelots,Xikong,FW,30100000
A. Maganda,B,Lady Ocelots,Dosqaly,FWMF,18500000
T. Dehghan,B,Lady Ocelots,Lenia Gerdanho,FWMF,33920000
K. Tukamushaba,B,Lady Ocelots,Reugha,FWMF,25460000
K. Boyer,B,Lady Ocelots,Western Niasland,FWMF,24520000
Q. Balodis,B,Lady Ocelots,Western Niasland,FWMF,19040000
Y. Campbell,B,Lady Ocelots,Dosqaly,GK,8390000
M. Tetteh,B,Lady Ocelots,Buhegeor,MF,16210000
E. Daan,B,Lady Ocelots,Dosqaly,MF,7640000
G. Jee,B,Lady Ocelots,Dosqaly,MF,19520000
P. Giramia,B,Lady Ocelots,Dosqaly,MF,21540000
X. Santoso,B,Lady Ocelots,Dosqaly,MF,34830000
L. Gutiérrez,B,Lady Ocelots,Central Diasongo,MFFW,18880000
E. Kunihira,B,Lady Ocelots,Lenia Gerdanho,MFFW,23380000
K. Weiß,B,Overconfident Kangaroos,Central Diasongo,DF,21460000
F. bin Ishak,B,Overconfident Kangaroos,Dosqaly,DF,13450000
F. Turunen,B,Overconfident Kangaroos,Dosqaly,DF,14400000
K. Amer,B,Overconfident Kangaroos,Dosqaly,DF,22680000
K. Ber,B,Overconfident Kangaroos,Dosqaly,DF,16300000
S. Aisyah,B,Overconfident Kangaroos,Dosqaly,DF,10140000
C. Namanda,B,Overconfident Kangaroos,Puway,DF,14990000
Y. Koay,B,Overconfident Kangaroos,Reugha,DF,12260000
U. Lindberg,B,Overconfident Kangaroos,Dosqaly,DFMF,11240000
Q. Mangwiro,B,Overconfident Kangaroos,Coastpa Barleslands,FW,18770000
U. Mustapha,B,Overconfident Kangaroos,Dosqaly,FW,23000000
U. Cardoso,B,Overconfident Kangaroos,Slandsganiamayotteque,FW,30100000
H. Sugiyama,B,Overconfident Kangaroos,Dosqaly,FWMF,26400000
Q. Awekonimungu,B,Overconfident Kangaroos,Dosqaly,FWMF,27070000
E. Wibowo,B,Overconfident Kangaroos,Coastpa Barleslands,GK,16090000
B. Ochieng,B,Overconfident Kangaroos,Dosqaly,GK,23160000
G. Nakisuyi,B,Overconfident Kangaroos,Central Namemo Laand,MF,20170000
F. Bello,B,Overconfident Kangaroos,Dosqaly,MF,22850000
I. Salminen,B,Overconfident Kangaroos,Dosqaly,MF,10550000
L. Akulu,B,Overconfident Kangaroos,Dosqaly,MF,15450000
M. Jha,B,Overconfident Kangaroos,Dosqaly,MF,24980000
Y. Ademovi?,B,Overconfident Kangaroos,Dosqaly,MF,22230000
Y. Zia,B,Overconfident Kangaroos,Dosqaly,MF,15920000
M. Sharabi,B,Overconfident Kangaroos,Dosqaly,MFDF,2760000
D. Kakande,B,Overconfident Kangaroos,Dosqaly,MFFW,22130000
Q. Ajiko,B,Overconfident Kangaroos,Lefghau,MFFW,36370000
X. Ssemakula,B,Serious Thunderbirds,Central Namemo Laand,DF,15400000
A. Nakiranda,B,Serious Thunderbirds,Dosqaly,DF,21440000
E. Fernando,B,Serious Thunderbirds,Dosqaly,DF,20640000
E. Schmitz,B,Serious Thunderbirds,Dosqaly,DF,17580000
M. Begu,B,Serious Thunderbirds,Dosqaly,DF,21140000
U. Chen,B,Serious Thunderbirds,Dosqaly,DF,26780000
V. Nyiramugisha,B,Serious Thunderbirds,Dosqaly,DF,7810000
L. Rostami,B,Serious Thunderbirds,Former Maneau,DF,18870000
S. Agustina,B,Serious Thunderbirds,Lefghau,DF,6000000
I. Norouzi,B,Serious Thunderbirds,Nganion,DF,25630000
K. Guerra,B,Serious Thunderbirds,Dosqaly,FW,24240000
P. Kamya,B,Serious Thunderbirds,Dosqaly,FW,21720000
T. Amutuhaire,B,Serious Thunderbirds,Dosqaly,FW,10530000
A. Kyohirwe,B,Serious Thunderbirds,Tercapetralgrorus,FW,14540000
D. Dumitru,B,Serious Thunderbirds,Czechnor,FWDF,26370000
U. Madondo,B,Serious Thunderbirds,Dosqaly,FWDF,20240000
I. Okada,B,Serious Thunderbirds,Dosqaly,FWMF,28810000
H. Winkler,B,Serious Thunderbirds,Saintu,FWMF,20450000
V. Gallo,B,Serious Thunderbirds,Tabhu Striary,FWMF,28140000
D. Fuchs,B,Serious Thunderbirds,Dosqaly,GK,13560000
H. Kamal,B,Serious Thunderbirds,Dosqaly,GK,29400000
I. Sano,B,Serious Thunderbirds,Dosqaly,GK,4800000
B. Guillot,B,Serious Thunderbirds,Central Diasongo,MF,27140000
V. Ezra,B,Serious Thunderbirds,Coastpa Barleslands,MF,15060000
G. Avraham,B,Serious Thunderbirds,Dosqaly,MF,17410000
H. Nsungwa,B,Serious Thunderbirds,Dosqaly,MF,23110000
J. Martinelli,B,Serious Thunderbirds,Dosqaly,MF,22240000
N. Opolot,B,Serious Thunderbirds,Dosqaly,MF,1520000
N. Oyama,B,Serious Thunderbirds,Dosqaly,MFDF,11510000
C. Nankya,B,Serious Thunderbirds,Dosqaly,MFFW,33070000
H. Munetsi,B,Serious Thunderbirds,Pierrema,MFFW,27580000
I. Maes,B,Simple Jayhawks,Badad,DF,23060000
E. Ilukol,B,Simple Jayhawks,Dosqaly,DF,21300000
F. Olinga,B,Simple Jayhawks,Dosqaly,DF,16440000
M. Ruggiero,B,Simple Jayhawks,Dosqaly,DF,19470000
L. Masaba,B,Simple Jayhawks,Nancipenuaroe,DF,14080000
T. Dadzie,B,Simple Jayhawks,South Bartzercuaof,DF,11760000
R. Dumont,B,Simple Jayhawks,Tabhu Striary,DF,7080000
E. Ooi,B,Simple Jayhawks,Reugha,DFMF,16100000
D. Tshuma,B,Simple Jayhawks,Coastpa Barleslands,FW,29040000
E. Okonkwo,B,Simple Jayhawks,Coastpa Barleslands,FW,13150000
S. Moss,B,Simple Jayhawks,Coastpa Barleslands,FW,34690000
X. Kwesiga,B,Simple Jayhawks,Coastpa Barleslands,FW,19070000
H. Amponsah,B,Simple Jayhawks,Pierrema,FW,33990000
A. Salazar,B,Simple Jayhawks,Rarita,FW,22180000
K. Olsen,B,Simple Jayhawks,Tiagascar Westlands,FW,2590000
V. Nakibuule,B,Simple Jayhawks,Reugha,FWMF,25210000
M. Natumanya,B,Simple Jayhawks,Dosqaly,GK,12590000
R. Rizzi,B,Simple Jayhawks,Pierrema,GK,19370000
F. Evans,B,Simple Jayhawks,Central Diasongo,MF,14570000
Q. Kaseke,B,Simple Jayhawks,Central Diasongo,MF,23870000
A. Nwachukwu,B,Simple Jayhawks,Dosqaly,MF,16690000
P. Oravec,B,Simple Jayhawks,Dosqaly,MF,22540000
Q. Chean,B,Simple Jayhawks,Dosqaly,MF,24110000
E. Ueda,B,Simple Jayhawks,Dosqaly,MFFW,19330000
D. Jansson,B,Simple Privateers,Biarizea,DF,16710000
S. Nalugwa,B,Simple Privateers,Biarizea,DF,16660000
W. Muchenje,B,Simple Privateers,Biarizea,DF,18550000
M. Ma,B,Simple Privateers,Central Namemo Laand,DF,9000000
X. Mostafa,B,Simple Privateers,Chadlau Loupenina,DF,23790000
J. Kinoshita,B,Simple Privateers,Czechnor,DF,8130000
H. Naluyima,B,Simple Privateers,Lenia Gerdanho,DF,17090000
H. Lefebvre,B,Simple Privateers,Reugha,DF,28530000
U. Utomo,B,Simple Privateers,Dosqaly,FW,15520000
T. Tindyebwa,B,Simple Privateers,New Somoe,FW,28280000
A. Uy,B,Simple Privateers,People's Land of Maneau,FWMF,30880000
O. Martini,B,Simple Privateers,Tercapetralgrorus,FWMF,31070000
A. Nakalyango,B,Simple Privateers,Zamlie Niabangthe,FWMF,27320000
V. Arnold,B,Simple Privateers,Coastpa Barleslands,GK,11400000
X. Adikini,B,Simple Privateers,Cuandbo,GK,8010000
B. bin Awang,B,Simple Privateers,Czechnor,MF,26640000
F. Awino,B,Simple Privateers,Dosqaly,MF,18440000
K. Birungi,B,Simple Privateers,Dosqaly,MF,25700000
P. Otto,B,Simple Privateers,Dosqaly,MF,20110000
V. Tong,B,Simple Privateers,Dosqaly,MF,11720000
W. Mugisha,B,Simple Privateers,Dosqaly,MF,19870000
T. Owiny,B,Simple Privateers,Pierrema,MF,21030000
B. Nakabugo,B,Simple Privateers,Sina Daofra,MFDF,20330000
J. Kirabo,B,Simple Privateers,Dosqaly,MFFW,26160000
S. Oroma,B,Simple Privateers,Dosqaly,MFFW,25230000
V. Nagawa,B,Simple Privateers,Dosqaly,MFFW,33220000
D. Tkachenko,B,Simple Privateers,Iverde,MFFW,28450000
N. Olinga,B,Simple Privateers,Lefghau,MFFW,24070000
F. Hubert,B,Solemn Leopards,Dosqaly,DF,27190000
R. Mutumba,B,Solemn Leopards,Dosqaly,DF,28470000
M. Tseu,B,Solemn Leopards,Manlisgamncent,DF,17180000
A. Peña,B,Solemn Leopards,Nganion,DF,17660000
P. Chi,B,Solemn Leopards,Rarita,DF,12340000
F. Baguma,B,Solemn Leopards,Coastpa Barleslands,DFFW,27440000
F. Kobugabe,B,Solemn Leopards,Dosqaly,DFMF,21370000
J. Ginting,B,Solemn Leopards,Dosqaly,DFMF,10040000
C. Omar,B,Solemn Leopards,Dosqaly,FW,26390000
Q. Okiror,B,Solemn Leopards,Dosqaly,FW,31050000
S. Abdullahi,B,Solemn Leopards,Dosqaly,FW,25450000
P. Jackson,B,Solemn Leopards,Imaar Vircoand,FW,25960000
T. Marques,B,Solemn Leopards,Dosqaly,FWMF,27040000
F. Schäfer,B,Solemn Leopards,Rosvi,FWMF,22620000
A. Mbusa,B,Solemn Leopards,Dosqaly,GK,20820000
N. Tumwesigye,B,Solemn Leopards,Dosqaly,GK,16330000
A. Odaga,B,Solemn Leopards,Byasier Pujan,MF,18510000
K. Makaza,B,Solemn Leopards,Dosqaly,MF,29210000
L. Ayebale,B,Solemn Leopards,Dosqaly,MF,8460000
Q. Ruzvidzo,B,Solemn Leopards,Dosqaly,MF,20920000
L. Hall,B,Solemn Leopards,Lefghau,MF,16900000
Z. Heinonen,B,Solemn Leopards,Dosqaly,MFFW,25250000
K. Baumann,B,Solemn Leopards,Tabhu Striary,MFFW,22940000
M. Chavula,B,Somber Stallions,Dosqaly,DF,17270000
W. Aciro,B,Somber Stallions,Dosqaly,DF,18880000
I. Nabatanzi,B,Somber Stallions,Greri Landmoslands,DF,15340000
P. Nahabwe,B,Somber Stallions,Greri Landmoslands,DF,6490000
S. Chided,B,Somber Stallions,Lefghau,DF,22160000
S. Lamptey,B,Somber Stallions,Manlisgamncent,DF,22700000
M. Nagudi,B,Somber Stallions,Pitpu Biaal,DF,18530000
L. James,B,Somber Stallions,Varijitri Isles,DF,17500000
S. Zupan,B,Somber Stallions,Dosqaly,FW,20160000
K. Sekh,B,Somber Stallions,Republic of Denand Landsa,FW,31400000
E. Tumukunde,B,Somber Stallions,Dosqaly,FWMF,23580000
L. Aguilar,B,Somber Stallions,Lefghau,FWMF,20710000
I. Kumari,B,Somber Stallions,Dosqaly,GK,13750000
K. Wee,B,Somber Stallions,Central Namemo Laand,MF,7700000
G. Kyamanywa,B,Somber Stallions,Coastpa Barleslands,MF,8210000
E. Longwe,B,Somber Stallions,Dosqaly,MF,15960000
G. Jesus,B,Somber Stallions,Dosqaly,MF,13810000
K. Gao,B,Somber Stallions,Greri Landmoslands,MF,25640000
B. Lu,B,Somber Stallions,Lefghau,MF,21600000
Q. Nikoli?,B,Somber Stallions,Saintswacroa,MF,6080000
E. Teixeira,B,Somber Stallions,Slandsganiamayotteque,MF,19360000
K. Guillaume,B,Somber Stallions,Dosqaly,MFFW,28170000
X. Durand,B,Somber Stallions,Greri Landmoslands,MFFW,31650000
Z. Perrin,B,Somber Stallions,Imaar Vircoand,MFFW,11980000
K. Koppel,B,Somber Stallions,Varijitri Isles,MFFW,28070000
G. Asiedu,B,Supreme Janes,Dosqaly,DF,17910000
L. Hasegawa,B,Supreme Janes,Dosqaly,DF,11470000
N. Agyapong,B,Supreme Janes,Dosqaly,DF,9230000
R. Horvat,B,Supreme Janes,Dosqaly,DF,3170000
S. bin Osman,B,Supreme Janes,Dosqaly,DF,9790000
K. Nakku,B,Supreme Janes,Former Maneau,DF,18180000
G. Suad,B,Supreme Janes,Lefghau,DF,14010000
I. Nantale,B,Supreme Janes,Lefghau,DF,14440000
E. Nelima,B,Supreme Janes,Reugha,DF,13750000
J. Ferri,B,Supreme Janes,Reugha,DF,10380000
K. Balogun,B,Supreme Janes,Lenia Gerdanho,DFFW,12840000
Y. D?browski,B,Supreme Janes,Rarita,DFMF,10800000
K. Macuacua,B,Supreme Janes,Dosqaly,FW,17340000
H. Sentongo,B,Supreme Janes,Reugha,FW,21610000
O. Cheah,B,Supreme Janes,Lefghau,FWDF,12640000
B. Roche,B,Supreme Janes,Dosqaly,FWMF,30210000
F. Kyoshabire,B,Supreme Janes,Dosqaly,FWMF,27330000
H. Pang,B,Supreme Janes,Dosqaly,FWMF,15330000
E. Lund,B,Supreme Janes,Republic of Denand Landsa,FWMF,33290000
O. Tio,B,Supreme Janes,Southern Ristan,FWMF,20660000
R. Mkandla,B,Supreme Janes,Southern Ristan,FWMF,22080000
O. Burgos,B,Supreme Janes,Dosqaly,GK,20260000
E. Liepi?š,B,Supreme Janes,Rosvi,GK,7270000
G. Albrecht,B,Supreme Janes,Dosqaly,MF,17020000
P. Lo,B,Supreme Janes,Dosqaly,MF,23840000
Q. Ruzvidzo,B,Supreme Janes,Dosqaly,MF,13320000
B. Apio,B,Supreme Janes,Pierrema,MF,31480000
L. Mirzaei,B,Supreme Janes,Biarizea,MFFW,26720000
E. Fujiwara,B,Supreme Janes,Former Maneau,MFFW,23470000
H. Romero,B,Swift Rustlers,Coastpa Barleslands,DF,21730000
A. Schmidt,B,Swift Rustlers,Dosqaly,DF,32300000
D. Tweheyo,B,Swift Rustlers,Dosqaly,DF,16380000
Y. Meyer,B,Swift Rustlers,Nkasland Cronestan,DF,8640000
O. Bošnjak,B,Swift Rustlers,Northern Namemo Laand,DF,23610000
N. Gumbo,B,Swift Rustlers,People's Land of Maneau,DF,18070000
O. Ninsiima,B,Swift Rustlers,Greri Landmoslands,DFFW,29500000
S. Jalali,B,Swift Rustlers,Esia,DFMF,25870000
L. Fung,B,Swift Rustlers,Greri Landmoslands,DFMF,27410000
L. Chifamba,B,Swift Rustlers,Lefghau,DFMF,11270000
Q. Mukasa,B,Swift Rustlers,Buhegeor,FW,16460000
E. Nankunda,B,Swift Rustlers,Dosqaly,FW,21880000
F. Mapfumo,B,Swift Rustlers,Dosqaly,FW,9320000
L. Castro,B,Swift Rustlers,Dosqaly,FW,27870000
