Player,League,Squad,Country,Position,Annualized Salary
A. Andama,B,Flawless Cows,Byasier Pujan,DF,17220000
Y. Nassuuna,B,Flawless Cows,Coastpa Barleslands,DF,18880000
J. Kyarisiima,B,Flawless Cows,Dosqaly,DF,15310000
O. Takeda,B,Flawless Cows,Dosqaly,DF,27650000
Q. Coppola,B,Flawless Cows,Dosqaly,DF,24730000
V. Mhlanga,B,Flawless Cows,Dosqaly,DF,21630000
J. Kawano,B,Flawless Cows,Esia,DF,17530000
D. Mabhena,B,Flawless Cows,Nganion,DF,21260000
F. Yunusa,B,Flawless Cows,Rarita,DF,18150000
T. Neves,B,Flawless Cows,Sobianitedrucy,DF,30990000
H. Robert,B,Flawless Cows,Dosqaly,FW,33510000
T. Jabarin,B,Flawless Cows,Dosqaly,FW,12080000
Z. Basile,B,Flawless Cows,Dosqaly,FW,33730000
B. Zheng,B,Flawless Cows,Imaar Vircoand,FW,37660000
Y. Mutema,B,Flawless Cows,Nganion,FW,1200000
J. Lysenko,B,Flawless Cows,Sobianitedrucy,FW,34620000
Y. Manuel,B,Flawless Cows,Biarizea,FWMF,10890000
C. Asiku,B,Flawless Cows,Dosqaly,FWMF,22900000
B. Obonyo,B,Flawless Cows,Imaar Vircoand,FWMF,32320000
R. Ssembatya,B,Flawless Cows,Nganion,FWMF,24780000
Y. Kyosiimire,B,Flawless Cows,Nganion,GK,14410000
X. Driscoll,B,Flawless Cows,Nkasland Cronestan,GK,22110000
P. Addae,B,Flawless Cows,South Sati Fatina,GK,13170000
A. Fekete,B,Flawless Cows,Byasier Pujan,MF,7380000
D. Muhammad,B,Flawless Cows,Coastpa Barleslands,MF,34050000
I. Ndoro,B,Flawless Cows,Dosqaly,MF,5700000
E. Sommer,B,Flawless Cows,Imaar Vircoand,MF,15780000
P. Susanto,B,Flawless Cows,Lefghau,MF,23300000
O. Musonza,B,Flawless Cows,Nganion,MF,13270000
I. Marie,B,Flawless Cows,Sobianitedrucy,MF,24550000
Z. Musenero,B,Flawless Cows,Greri Landmoslands,MFDF,20000000
K. Opio,B,Flawless Cows,Esia,MFFW,30710000
Z. Ahmetovi?,B,Flawless Cows,Lefghau,MFFW,31600000
O. Naderi,B,Glistening Paladins,Badad,DF,11950000
A. Nabuuma,B,Glistening Paladins,Dosqaly,DF,25080000
B. Ban,B,Glistening Paladins,Dosqaly,DF,12180000
B. Polák,B,Glistening Paladins,Dosqaly,DF,17970000
L. Mulyani,B,Glistening Paladins,Dosqaly,DF,17410000
O. Wagner,B,Glistening Paladins,Dosqaly,DF,7730000
S. Bukirwa,B,Glistening Paladins,Dosqaly,DF,17140000
A. Palmieri,B,Glistening Paladins,Landsfupua,DFMF,34010000
I. Berg,B,Glistening Paladins,Tito Mia,FW,33740000
G. Lombardo,B,Glistening Paladins,Dosqaly,FWMF,29200000
L. Alanyo,B,Glistening Paladins,Dosqaly,FWMF,25230000
F. Kimera,B,Glistening Paladins,Dosqaly,GK,20670000
T. Okello,B,Glistening Paladins,Dosqaly,GK,22390000
C. Asiku,B,Glistening Paladins,Dosqaly,MF,5990000
F. Kabanda,B,Glistening Paladins,Dosqaly,MF,19870000
H. Lwanga,B,Glistening Paladins,Dosqaly,MF,15270000
J. Takali,B,Glistening Paladins,Dosqaly,MF,37380000
S. Vidal,B,Glistening Paladins,Dosqaly,MF,23300000
B. Akullu,B,Glistening Paladins,Lefghau,MF,23390000
Z. Mlilo,B,Glistening Paladins,Pierrema,MF,24530000
G. Munsaka,B,Glistening Paladins,Dosqaly,MFFW,37880000
M. Maimon,B,Glistening Paladins,Dosqaly,MFFW,20980000
U. Madondo,B,Glistening Paladins,Dosqaly,MFFW,31000000
W. Kuhn,B,Glistening Paladins,Dosqaly,MFFW,30150000
J. Leng,B,Glistening Paladins,Greri Landmoslands,MFFW,29980000
M. Hassan,B,Glistening Paladins,Sobianitedrucy,MFFW,32520000
W. Santoro,B,Golden Rustlers,Coastpa Barleslands,DF,13020000
E. Gamal,B,Golden Rustlers,Dosqaly,DF,10890000
I. Chandra,B,Golden Rustlers,Dosqaly,DF,16390000
P. Igwe,B,Golden Rustlers,Dosqaly,DF,18860000
S. bin Ramli,B,Golden Rustlers,Dosqaly,DF,7180000
J. Mushabe,B,Golden Rustlers,Lefghau,DF,18610000
K. Oloya,B,Golden Rustlers,Quewenia,DF,27880000
B. Lai,B,Golden Rustlers,Rarita,DF,15490000
K. Kyosiimire,B,Golden Rustlers,Southern Viout Aman,DF,12860000
A. Musonza,B,Golden Rustlers,Dosqaly,FW,28950000
M. Reilly,B,Golden Rustlers,Dosqaly,FW,26770000
U. Atugonza,B,Golden Rustlers,Republic of Denand Landsa,FW,33660000
E. Cortez,B,Golden Rustlers,Dosqaly,FWMF,30830000
J. Testa,B,Golden Rustlers,Dosqaly,FWMF,29340000
T. Karmakar,B,Golden Rustlers,Dosqaly,FWMF,32620000
Y. Horváth,B,Golden Rustlers,Landli Blicporlip,FWMF,23410000
F. Salonen,B,Golden Rustlers,Republic of Denand Landsa,FWMF,35680000
V. Bwambale,B,Golden Rustlers,Dosqaly,GK,18830000
D. Taniguchi,B,Golden Rustlers,Central Diasongo,MF,18620000
C. Shaheen,B,Golden Rustlers,Dosqaly,MF,29480000
Z. Hasna,B,Golden Rustlers,Dosqaly,MF,21300000
W. Noguchi,B,Golden Rustlers,Lefghau,MF,27110000
M. Muwanga,B,Golden Rustlers,Manlisgamncent,MF,36170000
V. Amini,B,Golden Rustlers,Reugha,MF,21170000
P. Atukwatse,B,Golden Rustlers,Dosqaly,MFFW,30240000
U. Oyella,B,Golden Rustlers,Dosqaly,MFFW,27780000
M. Anderson,B,Golden Rustlers,Nganion,MFFW,13970000
E. Apiyo,B,Golden Rustlers,Pierrema,MFFW,28650000
S. Namanya,B,Grotesque Rocks,Central Diasongo,DF,8280000
E. Fujii,B,Grotesque Rocks,Dosqaly,DF,18920000
F. Shkreli,B,Grotesque Rocks,Dosqaly,DF,28450000
G. Namanya,B,Grotesque Rocks,Dosqaly,DF,18410000
H. Kaweesi,B,Grotesque Rocks,Dosqaly,DF,24430000
U. Müller,B,Grotesque Rocks,Dosqaly,DF,24960000
X. binti Awang,B,Grotesque Rocks,Rosvi,DF,16170000
O. Tshuma,B,Grotesque Rocks,Rarita,DFMF,28050000
D. Tshuma,B,Grotesque Rocks,Coastpa Barleslands,FW,24970000
B. Ghorbani,B,Grotesque Rocks,Ngogalar,FW,32930000
B. Okyere,B,Grotesque Rocks,Dosqaly,FWDF,12320000
J. Lorenz,B,Grotesque Rocks,Biarizea,FWMF,38630000
K. Van der Meer,B,Grotesque Rocks,Central Diasongo,FWMF,24060000
C. Kwakye,B,Grotesque Rocks,Nancipenuaroe,FWMF,35500000
K. Imai,B,Grotesque Rocks,Pierrema,FWMF,37100000
U. Dewi,B,Grotesque Rocks,Reugha,FWMF,31940000
U. Yamasaki,B,Grotesque Rocks,Coastpa Barleslands,GK,19570000
S. binti Othman,B,Grotesque Rocks,Lylimi,GK,14740000
T. Bukar,B,Grotesque Rocks,Southern Ristan,GK,11540000
B. Guillot,B,Grotesque Rocks,Central Diasongo,MF,20290000
B. Nalwanga,B,Grotesque Rocks,Dosqaly,MF,29480000
K. Kaudha,B,Grotesque Rocks,Dosqaly,MF,21850000
T. Orishaba,B,Grotesque Rocks,Dosqaly,MF,33130000
X. Odongo,B,Grotesque Rocks,Unicorporated Tiagascar,MF,10030000
O. Soleimani,B,Grotesque Rocks,Dosqaly,MFFW,32590000
U. Sun,B,Grotesque Rocks,Reugha,MFFW,3780000
O. Barone,B,Jumping Beans,Biarizea,DF,22340000
G. Sande,B,Jumping Beans,Central Diasongo,DF,16390000
O. Kembabazi,B,Jumping Beans,Giumle Lizeibon,DF,1690000
T. Muhumuza,B,Jumping Beans,Reugha,DF,29660000
C. Mashiri,B,Jumping Beans,Southern Ristan,DF,17560000
K. Ahimbisibwe,B,Jumping Beans,Southern Ristan,DF,16160000
L. Wenene,B,Jumping Beans,Southern Ristan,DF,17550000
Q. Mutabazi,B,Jumping Beans,Byasier Pujan,FW,10510000
O. Chelimo,B,Jumping Beans,Ngoque Blicri,FW,23700000
O. Ghanbari,B,Jumping Beans,Coastpa Barleslands,FWMF,22670000
Q. Nampijja,B,Jumping Beans,Reugha,FWMF,20170000
A. Lamunu,B,Jumping Beans,Dosqaly,GK,25300000
K. Adero,B,Jumping Beans,Rosvi,GK,12060000
T. Makaza,B,Jumping Beans,Central Namemo Laand,MF,21920000
W. Nantale,B,Jumping Beans,Central Namemo Laand,MF,8410000
H. Taniguchi,B,Jumping Beans,Coastpa Barleslands,MF,23980000
J. Bah,B,Jumping Beans,Dosqaly,MF,18540000
K. Akullu,B,Jumping Beans,Dosqaly,MF,24260000
T. Mugoya,B,Jumping Beans,Dosqaly,MF,20330000
N. Grgi?,B,Jumping Beans,Ingre,MF,25240000
C. Ková?,B,Jumping Beans,Loco Phirema,MF,25200000
R. Rusere,B,Jumping Beans,Tercapetralgrorus,MF,25090000
H. Rees,B,Jumping Beans,Eastern Covaki,MFDF,23010000
C. Nafuna,B,Jumping Beans,Dosqaly,MFFW,26240000
H. Kovács,B,Jumping Beans,Dosqaly,MFFW,22040000
X. Opira,B,Jumping Beans,Dosqaly,MFFW,11190000
E. Ayerango,B,Jumping Beans,Loco Phirema,MFFW,6670000
V. Nabbosa,B,Jumping Beans,Quewenia,MFFW,10700000
E. Muwanguzi,B,Jumping Beans,Reugha,MFFW,28530000
A. Namataka,B,Mean Colts,Dosqaly,DF,4990000
D. Kugonza,B,Mean Colts,Dosqaly,DF,18090000
K. Kao,B,Mean Colts,Dosqaly,DF,18550000
M. Guma,B,Mean Colts,Dosqaly,DF,22060000
U. Francisco,B,Mean Colts,Dosqaly,DF,19670000
V. Chauke,B,Mean Colts,Dosqaly,DF,23920000
K. Nanyonjo,B,Mean Colts,Imaar Vircoand,DF,10010000
H. Pärn,B,Mean Colts,Iverde,DF,16810000
C. Nurjanah,B,Mean Colts,New Somoe,DF,15050000
C. Oloya,B,Mean Colts,Reugha,DF,14890000
M. Heinonen,B,Mean Colts,Reugha,DF,24310000
Q. Turinawe,B,Mean Colts,Rosvi,DF,9130000
Y. bin Abu Bakar,B,Mean Colts,Central Namemo Laand,FW,30190000
E. Tahirovi?,B,Mean Colts,Dosqaly,FW,28320000
S. Lombardo,B,Mean Colts,Dosqaly,FW,26820000
Z. Basile,B,Mean Colts,Dosqaly,FW,31410000
M. Wójcik,B,Mean Colts,Dosqaly,FWMF,19610000
J. Ogawa,B,Mean Colts,Dosqaly,GK,8370000
A. Chipeta,B,Mean Colts,Zamlie Niabangthe,GK,22410000
H. Dehghan,B,Mean Colts,Central Diasongo,MF,18500000
A. ?engi?,B,Mean Colts,Dosqaly,MF,28800000
B. Grabowski,B,Mean Colts,Dosqaly,MF,16950000
Q. Messina,B,Mean Colts,Dosqaly,MF,19270000
V. Foong,B,Mean Colts,Dosqaly,MF,4050000
Z. Robin,B,Mean Colts,Reugha,MF,17370000
V. Apio,B,Mean Colts,Greri Landmoslands,MFFW,31290000
E. Kunihira,B,Mean Colts,Lenia Gerdanho,MFFW,40710000
F. Sepp,B,Mean Poets,Dosqaly,DF,11430000
G. Bernardi,B,Mean Poets,Dosqaly,DF,28420000
J. Driwaru,B,Mean Poets,Dosqaly,DF,9610000
L. Masson,B,Mean Poets,Dosqaly,DF,18480000
L. Namugaya,B,Mean Poets,Dosqaly,DF,19120000
Q. Nakintu,B,Mean Poets,Dosqaly,DF,17250000
R. Okoye,B,Mean Poets,Dosqaly,DF,15700000
K. Koskinen,B,Mean Poets,New Rapore,DF,17390000
C. Namanda,B,Mean Poets,Puway,DF,10460000
D. Günther,B,Mean Poets,Puway,DF,13690000
H. Suleiman,B,Mean Poets,People's Land of Maneau,DFMF,24870000
R. Lor,B,Mean Poets,Dosqaly,FW,35610000
E. Kaweesi,B,Mean Poets,Giumle Lizeibon,FW,26440000
X. Ngwenya,B,Mean Poets,Republic of Denand Landsa,FW,37460000
A. Tusingwire,B,Mean Poets,Dosqaly,FWMF,24400000
M. Musenero,B,Mean Poets,Dosqaly,FWMF,22640000
N. Soto,B,Mean Poets,Lenia Gerdanho,FWMF,31860000
U. Tan,B,Mean Poets,Varijitri Isles,FWMF,11110000
A. Suboti?,B,Mean Poets,Dosqaly,GK,12380000
T. Bonabana,B,Mean Poets,Dosqaly,GK,9890000
O. Majhi,B,Mean Poets,Dosqaly,MF,27340000
P. Giramia,B,Mean Poets,Dosqaly,MF,22520000
W. Muwanga,B,Mean Poets,Dosqaly,MF,21640000
G. Shah,B,Mean Poets,Central Namemo Laand,MFFW,13510000
B. Rubio,B,Mean Poets,Dosqaly,MFFW,22760000
H. Hovhannisyan,B,Mean Poets,Dosqaly,MFFW,29210000
X. Chevalier,B,Mean Poets,Dosqaly,MFFW,25970000
W. Muchenje,B,Overconfident Kangaroos,Biarizea,DF,10490000
C. Prakash,B,Overconfident Kangaroos,Dosqaly,DF,8840000
F. bin Ishak,B,Overconfident Kangaroos,Dosqaly,DF,14680000
K. Amer,B,Overconfident Kangaroos,Dosqaly,DF,24570000
K. Ber,B,Overconfident Kangaroos,Dosqaly,DF,17830000
S. Aisyah,B,Overconfident Kangaroos,Dosqaly,DF,10830000
B. Savolainen,B,Overconfident Kangaroos,Lefghau,DF,22460000
Y. Koay,B,Overconfident Kangaroos,Reugha,DF,13180000
H. Kabugho,B,Overconfident Kangaroos,Sobianitedrucy,DF,11690000
V. Thakor,B,Overconfident Kangaroos,Dosqaly,DFMF,27750000
Q. Mangwiro,B,Overconfident Kangaroos,Coastpa Barleslands,FW,20440000
E. Akwii,B,Overconfident Kangaroos,Dosqaly,FW,12920000
F. Chiumia,B,Overconfident Kangaroos,Dosqaly,FW,28800000
K. Katongole,B,Overconfident Kangaroos,Dosqaly,FW,9190000
E. De Santis,B,Overconfident Kangaroos,Dosqaly,FWMF,22400000
G. Leclercq,B,Overconfident Kangaroos,Dosqaly,FWMF,14560000
H. Sugiyama,B,Overconfident Kangaroos,Dosqaly,FWMF,28570000
Q. Ajiko,B,Overconfident Kangaroos,Lefghau,FWMF,38960000
E. Wibowo,B,Overconfident Kangaroos,Coastpa Barleslands,GK,16090000
V. Arnold,B,Overconfident Kangaroos,Coastpa Barleslands,GK,15590000
B. Ochieng,B,Overconfident Kangaroos,Dosqaly,GK,24940000
G. Nakisuyi,B,Overconfident Kangaroos,Central Namemo Laand,MF,20200000
I. Salminen,B,Overconfident Kangaroos,Dosqaly,MF,10790000
M. Jha,B,Overconfident Kangaroos,Dosqaly,MF,25320000
P. Hakim,B,Overconfident Kangaroos,Dosqaly,MF,26620000
Y. Ademovi?,B,Overconfident Kangaroos,Dosqaly,MF,22560000
Y. Zia,B,Overconfident Kangaroos,Dosqaly,MF,15920000
D. Kakande,B,Overconfident Kangaroos,Dosqaly,MFFW,22650000
F. Bello,B,Overconfident Kangaroos,Dosqaly,MFFW,24890000
Q. Awekonimungu,B,Overconfident Kangaroos,Dosqaly,MFFW,28840000
U. Mustapha,B,Overconfident Kangaroos,Dosqaly,MFFW,24470000
B. Amin,B,Overconfident Kangaroos,Southern Ristan,MFFW,24760000
X. Ssemakula,B,Serious Thunderbirds,Central Namemo Laand,DF,15690000
V. Ezra,B,Serious Thunderbirds,Coastpa Barleslands,DF,15160000
Z. Patel,B,Serious Thunderbirds,Coastpa Barleslands,DF,19120000
A. Nakiranda,B,Serious Thunderbirds,Dosqaly,DF,23190000
B. Simango,B,Serious Thunderbirds,Dosqaly,DF,4720000
E. Fernando,B,Serious Thunderbirds,Dosqaly,DF,21360000
E. Schmitz,B,Serious Thunderbirds,Dosqaly,DF,17850000
Q. Ueda,B,Serious Thunderbirds,Dosqaly,DF,23280000
T. Y?ld?z,B,Serious Thunderbirds,Dosqaly,DF,15590000
U. Chen,B,Serious Thunderbirds,Dosqaly,DF,27720000
L. Rostami,B,Serious Thunderbirds,Former Maneau,DF,19040000
Z. Donkor,B,Serious Thunderbirds,Ingre,DF,9650000
D. Kyambadde,B,Serious Thunderbirds,Iverde,DF,11710000
S. Agustina,B,Serious Thunderbirds,Lefghau,DF,6580000
B. Miyasaki,B,Serious Thunderbirds,Dosqaly,DFMF,9710000
C. Nankya,B,Serious Thunderbirds,Dosqaly,FW,35850000
I. Okada,B,Serious Thunderbirds,Dosqaly,FW,29310000
K. Wo?niak,B,Serious Thunderbirds,Dosqaly,FW,30830000
M. Galli,B,Serious Thunderbirds,Dosqaly,FW,8840000
U. Rees,B,Serious Thunderbirds,Dosqaly,FW,26660000
V. Gallo,B,Serious Thunderbirds,Tabhu Striary,FW,28500000
K. Guerra,B,Serious Thunderbirds,Dosqaly,FWMF,25510000
H. Kamal,B,Serious Thunderbirds,Dosqaly,GK,31230000
I. Sano,B,Serious Thunderbirds,Dosqaly,GK,5240000
J. Lunkuse,B,Serious Thunderbirds,People's Land of Maneau,GK,27040000
T. Khaukha,B,Serious Thunderbirds,Central Namemo Laand,MF,22280000
E. Pang,B,Serious Thunderbirds,Dosqaly,MF,11150000
H. Nsungwa,B,Serious Thunderbirds,Dosqaly,MF,24890000
N. Oyama,B,Serious Thunderbirds,Dosqaly,MF,11790000
O. Amanyire,B,Serious Thunderbirds,Dosqaly,MF,18380000
R. Mujuni,B,Serious Thunderbirds,Dosqaly,MF,13520000
G. Avraham,B,Serious Thunderbirds,Dosqaly,MFDF,17810000
D. Dumitru,B,Serious Thunderbirds,Czechnor,MFFW,28060000
G. Debnath,B,Serious Thunderbirds,Dosqaly,MFFW,28990000
H. Chirwa,B,Serious Thunderbirds,Dosqaly,MFFW,22110000
N. Masango,B,Serious Thunderbirds,Dosqaly,MFFW,5680000
N. Opolot,B,Serious Thunderbirds,Dosqaly,MFFW,1630000
T. Amutuhaire,B,Serious Thunderbirds,Dosqaly,MFFW,10890000
Z. Katusiime,B,Serious Thunderbirds,Dosqaly,MFFW,17530000
H. Munetsi,B,Serious Thunderbirds,Pierrema,MFFW,27800000
E. Ilukol,B,Simple Jayhawks,Dosqaly,DF,21600000
F. Olinga,B,Simple Jayhawks,Dosqaly,DF,17170000
M. Ruggiero,B,Simple Jayhawks,Dosqaly,DF,19470000
L. Masaba,B,Simple Jayhawks,Nancipenuaroe,DF,14600000
J. Schuster,B,Simple Jayhawks,Reugha,DF,15160000
R. Dumont,B,Simple Jayhawks,Tabhu Striary,DF,7420000
D. Tshuma,B,Simple Jayhawks,Coastpa Barleslands,FW,30920000
X. Kwesiga,B,Simple Jayhawks,Coastpa Barleslands,FW,20670000
A. Salazar,B,Simple Jayhawks,Rarita,FW,22880000
U. Musekiwa,B,Simple Jayhawks,Southern Ristan,FW,21360000
E. Okonkwo,B,Simple Jayhawks,Coastpa Barleslands,FWMF,14060000
S. Moss,B,Simple Jayhawks,Coastpa Barleslands,FWMF,36280000
Y. Khatun,B,Simple Jayhawks,Coastpa Barleslands,FWMF,26150000
A. Tushabomwe,B,Simple Jayhawks,New Somoe,FWMF,37230000
J. Chukwu,B,Simple Jayhawks,Dosqaly,GK,8810000
R. Rizzi,B,Simple Jayhawks,Pierrema,GK,20690000
F. Evans,B,Simple Jayhawks,Central Diasongo,MF,15110000
Q. Kaseke,B,Simple Jayhawks,Central Diasongo,MF,25010000
J. Sembiring,B,Simple Jayhawks,Coastpa Barleslands,MF,4220000
O. Muwonge,B,Simple Jayhawks,Coastpa Barleslands,MF,15890000
A. Nwachukwu,B,Simple Jayhawks,Dosqaly,MF,17850000
P. Oravec,B,Simple Jayhawks,Dosqaly,MF,24660000
P. Otoo,B,Simple Jayhawks,Reugha,MF,28260000
E. Ooi,B,Simple Jayhawks,Reugha,MFDF,16860000
E. Maulana,B,Simple Jayhawks,Dosqaly,MFFW,26020000
G. Nugroho,B,Simple Jayhawks,New Rapore,MFFW,19400000
H. Amponsah,B,Simple Jayhawks,Pierrema,MFFW,34760000
S. Nalugwa,B,Simple Privateers,Biarizea,DF,17430000
M. Ma,B,Simple Privateers,Central Namemo Laand,DF,9760000
J. Kinoshita,B,Simple Privateers,Czechnor,DF,8790000
K. Ber,B,Simple Privateers,Dosqaly,DF,10420000
H. Naluyima,B,Simple Privateers,Lenia Gerdanho,DF,18000000
B. Bos,B,Simple Privateers,Nathuacamana,DF,17750000
N. Gumbo,B,Simple Privateers,People's Land of Maneau,DF,19030000
H. Lefebvre,B,Simple Privateers,Reugha,DF,29870000
P. Xu,B,Simple Privateers,Dosqaly,DFMF,18820000
D. Ochan,B,Simple Privateers,Coastpa Barleslands,FW,21260000
U. Utomo,B,Simple Privateers,Dosqaly,FW,15800000
X. Akol,B,Simple Privateers,Dosqaly,FW,35150000
Y. Fong,B,Simple Privateers,Dosqaly,FW,17850000
O. Martini,B,Simple Privateers,Tercapetralgrorus,FW,32990000
P. Otto,B,Simple Privateers,Dosqaly,FWDF,20210000
C. Shumba,B,Simple Privateers,Cabral Retrea,FWMF,11110000
F. Namajja,B,Simple Privateers,Central Badad,FWMF,20530000
H. Jiu,B,Simple Privateers,Central Diasongo,FWMF,24920000
F. Bizjak,B,Simple Privateers,Dosqaly,FWMF,28770000
J. Kirabo,B,Simple Privateers,Dosqaly,FWMF,26560000
V. Nagawa,B,Simple Privateers,Dosqaly,FWMF,33720000
V. Arnold,B,Simple Privateers,Coastpa Barleslands,GK,11630000
Z. Lefevre,B,Simple Privateers,Quewenia,GK,21100000
Y. Goh,B,Simple Privateers,Tito Mia,GK,18900000
R. Ferretti,B,Simple Privateers,Coastpa Barleslands,MF,10900000
B. bin Awang,B,Simple Privateers,Czechnor,MF,27310000
H. Karjalainen,B,Simple Privateers,Dosqaly,MF,14270000
J. Ssemanda,B,Simple Privateers,Dosqaly,MF,12660000
W. Mugisha,B,Simple Privateers,Dosqaly,MF,20160000
E. Becker,B,Simple Privateers,Central Namemo Laand,MFDF,15790000
B. Nakabugo,B,Simple Privateers,Sina Daofra,MFDF,21130000
O. Ali,B,Simple Privateers,Loco Phirema,MFFW,26800000
T. Owiny,B,Simple Privateers,Pierrema,MFFW,22680000
F. Baguma,B,Solemn Leopards,Coastpa Barleslands,DF,27960000
F. Hubert,B,Solemn Leopards,Dosqaly,DF,27540000
S. Chelangat,B,Solemn Leopards,Dosqaly,DF,11610000
G. Jumbe,B,Solemn Leopards,Imaar Vircoand,DF,18370000
K. Golan,B,Solemn Leopards,Lylimi,DF,13050000
M. Tseu,B,Solemn Leopards,Manlisgamncent,DF,18350000
A. Peña,B,Solemn Leopards,Nganion,DF,19020000
S. Candiru,B,Solemn Leopards,Nganion,DF,19920000
P. Chi,B,Solemn Leopards,Rarita,DF,12610000
R. Mutumba,B,Solemn Leopards,Dosqaly,DFFW,30020000
W. Salamah,B,Solemn Leopards,Lefghau,DFFW,16480000
C. Omar,B,Solemn Leopards,Dosqaly,FW,28270000
T. Marques,B,Solemn Leopards,Dosqaly,FW,29270000
P. Jackson,B,Solemn Leopards,Imaar Vircoand,FW,26230000
F. Nyakaisiki,B,Solemn Leopards,Nkasland Cronestan,FW,26960000
F. Schäfer,B,Solemn Leopards,Rosvi,FW,22680000
R. binti Mohamed,B,Solemn Leopards,Coastpa Barleslands,FWDF,28750000
Q. Okiror,B,Solemn Leopards,Dosqaly,FWMF,34100000
S. Abdullahi,B,Solemn Leopards,Dosqaly,FWMF,27380000
Z. Heinonen,B,Solemn Leopards,Dosqaly,FWMF,27090000
K. Baumann,B,Solemn Leopards,Tabhu Striary,FWMF,24230000
A. Mbusa,B,Solemn Leopards,Dosqaly,GK,22320000
N. Tumwesigye,B,Solemn Leopards,Dosqaly,GK,16350000
A. Odaga,B,Solemn Leopards,Byasier Pujan,MF,19460000
D. Cauhan,B,Solemn Leopards,Dosqaly,MF,26690000
F. Kobugabe,B,Solemn Leopards,Dosqaly,MF,23400000
K. Makaza,B,Solemn Leopards,Dosqaly,MF,30230000
Q. Muhammed,B,Solemn Leopards,Dosqaly,MF,11250000
Q. Ruzvidzo,B,Solemn Leopards,Dosqaly,MF,22830000
T. Tóth,B,Solemn Leopards,Dosqaly,MF,19890000
W. D'amico,B,Solemn Leopards,Dosqaly,MF,24330000
J. Odeke,B,Somber Stallions,Byasier Pujan,DF,6730000
M. Chavula,B,Somber Stallions,Dosqaly,DF,18200000
W. Aciro,B,Somber Stallions,Dosqaly,DF,20240000
I. Nabatanzi,B,Somber Stallions,Greri Landmoslands,DF,16110000
P. Nahabwe,B,Somber Stallions,Greri Landmoslands,DF,6510000
S. Lamptey,B,Somber Stallions,Manlisgamncent,DF,24140000
M. Nagudi,B,Somber Stallions,Pitpu Biaal,DF,20320000
L. James,B,Somber Stallions,Varijitri Isles,DF,18100000
L. Sichali,B,Somber Stallions,Central Democracy of Boekrainego,FW,25480000
N. Rebane,B,Somber Stallions,Varijitri Isles,FW,31730000
E. Teixeira,B,Somber Stallions,Slandsganiamayotteque,FWMF,19540000
K. Koppel,B,Somber Stallions,Varijitri Isles,FWMF,28720000
I. Kumari,B,Somber Stallions,Dosqaly,GK,14620000
E. Longwe,B,Somber Stallions,Dosqaly,MF,16210000
E. Tumukunde,B,Somber Stallions,Dosqaly,MF,23790000
G. Jesus,B,Somber Stallions,Dosqaly,MF,14090000
K. Gao,B,Somber Stallions,Greri Landmoslands,MF,27140000
X. Durand,B,Somber Stallions,Greri Landmoslands,MF,34480000
L. Aguilar,B,Somber Stallions,Lefghau,MF,20940000
J. Ginting,B,Somber Stallions,Dosqaly,MFDF,40290000
K. Guillaume,B,Somber Stallions,Dosqaly,MFFW,28400000
O. Kuloba,B,Supreme Janes,Central Namemo Laand,DF,14250000
G. Asiedu,B,Supreme Janes,Dosqaly,DF,17950000
L. Hasegawa,B,Supreme Janes,Dosqaly,DF,12520000
O. Alon,B,Supreme Janes,Dosqaly,DF,20180000
C. Amoding,B,Supreme Janes,Iverde,DF,15490000
I. Nantale,B,Supreme Janes,Lefghau,DF,15230000
J. Ferri,B,Supreme Janes,Reugha,DF,11090000
G. Suad,B,Supreme Janes,Lefghau,DFMF,14680000
B. Asamoah,B,Supreme Janes,Dosqaly,FW,32860000
E. Nankunda,B,Supreme Janes,Dosqaly,FW,17250000
K. Balogun,B,Supreme Janes,Lenia Gerdanho,FW,13740000
H. Sentongo,B,Supreme Janes,Reugha,FW,23370000
B. Roche,B,Supreme Janes,Dosqaly,FWMF,32890000
E. Lund,B,Supreme Janes,Republic of Denand Landsa,FWMF,34320000
R. Mkandla,B,Supreme Janes,Southern Ristan,FWMF,23710000
O. Burgos,B,Supreme Janes,Dosqaly,GK,20640000
L. Mirzaei,B,Supreme Janes,Biarizea,MF,27350000
C. Sagal,B,Supreme Janes,Dosqaly,MF,10210000
P. Lo,B,Supreme Janes,Dosqaly,MF,24590000
M. Okumu,B,Supreme Janes,Nganion,MF,10420000
B. Apio,B,Supreme Janes,Pierrema,MF,33340000
G. Albrecht,B,Supreme Janes,Dosqaly,MFFW,17110000
H. Pang,B,Supreme Janes,Dosqaly,MFFW,15340000
K. Macuacua,B,Supreme Janes,Dosqaly,MFFW,18460000
Y. Makavan,B,Supreme Janes,Dosqaly,MFFW,37100000
H. Romero,B,Swift Rustlers,Coastpa Barleslands,DF,22690000
D. Tweheyo,B,Swift Rustlers,Dosqaly,DF,17560000
H. Mphande,B,Swift Rustlers,Dosqaly,DF,10830000
M. Kamya,B,Swift Rustlers,Dosqaly,DF,20370000
C. Kazibwe,B,Swift Rustlers,Lefghau,DF,13410000
O. Bošnjak,B,Swift Rustlers,Northern Namemo Laand,DF,25600000
J. Dahiru,B,Swift Rustlers,Rarita,DF,19090000
N. Ferhatovi?,B,Swift Rustlers,Rosvi,DF,7210000
A. Schmidt,B,Swift Rustlers,Dosqaly,DFFW,34970000
A. Núñez,B,Swift Rustlers,Rarita,DFMF,22730000
